Date,Open,High,Low,Close,Adj Close,Volume
2016-03-04,18.9138,19.2783,18.6314,19.0222,19.0222,11354259
2016-03-07,18.7267,19.2028,18.684,19.0616,19.0616,12923919
2016-03-08,18.7037,18.8744,18.3885,18.4279,18.4279,10889073
2016-03-09,18.7168,18.8219,18.4443,18.7135,18.7135,9395496
2016-03-10,18.8712,19.1864,18.1488,18.7464,18.7464,16878078
2016-03-11,19.2291,19.6789,19.2044,19.6625,19.6625,11070213
2016-03-14,19.4819,19.7446,19.3768,19.5903,19.5903,5938860
2016-03-15,19.2619,19.5016,19.17,19.5016,19.5016,12551421
2016-03-16,19.3144,19.9646,19.3112,19.853,19.853,10417332
2016-03-17,19.8037,20.3816,19.6625,20.2207,20.2207,9808632
2016-03-18,20.3586,20.5622,20.2766,20.4572,20.4572,7419039
2016-03-21,20.3455,20.6082,20.2766,20.5327,20.5327,5881446
2016-03-22,20.2536,20.6936,20.201,20.513,20.513,7947075
2016-03-23,20.3586,20.4178,20.0241,20.1091,20.1091,6866721
2016-03-24,19.7085,20.0697,19.6494,20.0598,20.0598,8030526
2016-03-28,20.2109,20.2733,19.9416,20.1091,20.1091,5353638
2016-03-29,19.9416,20.6804,19.8431,20.6804,20.6804,8061243
2016-03-30,20.9924,21.173,20.7954,20.9267,20.9267,6666993
2016-03-31,20.8972,21.0384,20.7038,20.7855,20.7855,5129829
2016-04-01,20.3981,21.2518,20.3028,21.173,21.173,6647487
2016-04-04,21.1796,21.2255,20.8709,20.9793,20.9793,5920236
2016-04-05,20.5228,20.6706,20.2643,20.3652,20.3652,9434604
2016-04-06,20.3915,21.0351,20.293,20.999,20.999,9004698
2016-04-07,20.6148,20.7461,20.0007,20.2667,20.2667,12700905
2016-04-08,20.6706,20.8216,20.2372,20.4276,20.4276,8125050
2016-04-11,20.664,20.8873,20.247,20.27,20.27,11159496
2016-04-12,20.3455,20.9399,20.1879,20.8545,20.8545,10308813
2016-04-13,21.15,21.5014,21.1233,21.4652,21.4652,8351520
2016-04-14,21.5014,21.659,21.3503,21.4817,21.4817,4430256
2016-04-15,21.4718,21.5145,21.2781,21.3831,21.3831,3212463
2016-04-18,21.1927,21.8626,21.1595,21.8527,21.8527,5463624
2016-04-19,22.007,22.1482,21.7575,22.0596,22.0596,5923755
2016-04-20,22.076,22.3748,21.8987,22.1121,22.1121,4082115
2016-04-21,22.1187,22.1647,21.6623,21.7641,21.7641,6190584
2016-04-22,21.6327,21.856,21.4291,21.7772,21.7772,5507070
2016-04-25,21.5473,21.6524,21.3175,21.6491,21.6491,6191226
2016-04-26,21.7706,21.925,21.567,21.7673,21.7673,4702260
2016-04-27,21.6032,22.02,21.4718,21.8823,21.8823,6078672
